seconds,state,googleCalls,netflixCalls
1,0.00,0,0
2,0.00,7,0
3,0.00,23,0
4,0.00,22,0
5,0.00,19,0
6,0.00,18,0
7,0.00,18,0
8,0.00,17,0
9,0.00,16,0
10,0.00,16,0
11,0.00,12,0
12,0.00,15,0
13,0.00,13,0
14,0.00,16,0
15,0.00,13,0
16,0.00,13,0
17,0.00,14,0
18,0.00,15,0
19,0.00,14,0
20,0.00,15,0
21,0.00,11,0
22,500.00,0,0
23,500.00,2,0
24,500.00,1,0
25,500.00,1,0
26,500.00,1,0
27,500.00,0,0
28,500.00,0,0
29,500.00,1,0
30,500.00,0,0
31,500.00,0,0
32,500.00,0,0
33,500.00,0,0
34,500.00,1,0
35,500.00,2,0
36,0.00,0,0
37,0.00,1,0
38,0.00,105,0
39,0.00,50,0
40,0.00,29,0
41,0.00,31,0
42,0.00,21,0
43,0.00,37,0
44,500.00,10,0
45,500.00,390,0
46,500.00,1000,0
47,500.00,1000,0
48,500.00,1000,0
49,500.00,1000,0
50,500.00,1000,0
51,500.00,1000,0
52,500.00,1000,0
53,500.00,1000,0
54,500.00,1000,0
55,500.00,1000,0
56,500.00,1000,0
57,500.00,1000,0
58,500.00,1000,0
59,500.00,1000,0
60,500.00,1000,0
61,500.00,1000,0
62,500.00,1000,0
63,500.00,1000,0
64,500.00,1000,0
65,500.00,1000,0
66,500.00,1000,0
67,500.00,1000,0
68,500.00,1000,0
69,500.00,1000,0
70,500.00,1000,0
71,500.00,1000,0
72,500.00,1000,0
73,500.00,1000,0
74,500.00,1000,0
75,500.00,1000,0
76,500.00,1000,0
77,500.00,1000,0
78,500.00,1000,0
79,500.00,1000,0
80,500.00,1000,0
81,500.00,1000,0
82,500.00,1000,0
83,0.00,1000,0
84,0.00,1000,0
85,0.00,1000,0
86,0.00,1000,0
87,0.00,915,0
88,500.00,785,0
89,500.00,744,0
90,500.00,736,0
91,500.00,698,0
92,500.00,657,0
93,500.00,684,0
94,500.00,807,0
95,500.00,962,0
96,500.00,1000,0
97,500.00,1000,0
98,500.00,1000,0
99,500.00,1000,0
100,500.00,1000,0
101,500.00,1000,0
102,500.00,1000,0
103,500.00,1000,0
104,500.00,1000,0
105,500.00,1000,0
106,500.00,1000,0
107,500.00,1000,0
108,500.00,1000,0
109,500.00,1000,0
110,0.00,1000,0
111,0.00,1000,0
112,0.00,1000,0
113,0.00,999,0
114,0.00,911,0
115,0.00,770,0
116,0.00,640,0
117,0.00,490,0
118,0.00,343,0
119,0.00,191,0
120,0.00,18,0
121,0.00,2,0
122,0.00,3,0
123,0.00,1,0
124,0.00,1,0
125,0.00,4,0
126,0.00,7,0
127,500.00,4,0
128,500.00,222,0
129,500.00,988,0
130,500.00,1000,0
131,500.00,999,0
132,500.00,1000,0
133,500.00,999,0
134,500.00,999,0
135,500.00,1000,0
136,500.00,1000,0
137,500.00,1000,0
138,500.00,1000,0
139,500.00,1000,0
140,500.00,1000,0
141,500.00,1000,0
142,500.00,1000,0
143,500.00,1000,0
144,500.00,1000,0
145,500.00,999,0
146,500.00,1000,0
147,500.00,1000,0
148,500.00,1000,0
149,500.00,1000,0
150,500.00,1000,0
151,0.00,1000,0
152,0.00,1000,0
153,0.00,1000,0
154,0.00,998,0
155,500.00,911,0
156,500.00,875,0
157,500.00,862,0
158,500.00,865,0
159,500.00,864,0
160,500.00,842,0
161,500.00,868,0
162,500.00,986,0
163,500.00,1000,0
164,500.00,1000,0
165,500.00,1000,0
166,500.00,1000,0
167,500.00,1000,0
168,500.00,1000,0
169,500.00,992,0
170,500.00,1000,0
171,500.00,1000,0
172,500.00,1000,0
173,500.00,1000,0
174,500.00,1000,0
175,500.00,1000,0
176,500.00,1000,0
177,500.00,1000,0
178,500.00,1000,0
179,500.00,1000,0
180,500.00,1000,0
181,500.00,1000,0
182,500.00,1000,0
183,500.00,1000,0
184,500.00,998,0
185,500.00,989,0
186,500.00,1000,0
187,500.00,1000,0
188,500.00,1000,0
189,500.00,1000,0
190,500.00,1000,0
191,0.00,1000,0
192,0.00,1000,0
193,0.00,1000,0
194,0.00,997,0
195,500.00,922,0
196,500.00,876,0
197,500.00,879,0
198,500.00,881,0
199,500.00,863,0
200,500.00,855,0
201,500.00,879,0
202,500.00,983,0
203,500.00,1000,0
204,500.00,1000,0
205,500.00,1000,0
206,500.00,1000,0
207,500.00,964,0
208,500.00,759,0
209,500.00,998,0
210,500.00,1000,0
211,500.00,1000,0
212,500.00,998,0
213,500.00,1000,0
214,500.00,1000,0
215,500.00,1000,0
216,500.00,1000,0
217,500.00,999,0
218,500.00,1000,0
219,500.00,999,0
220,500.00,998,0
221,500.00,1000,0
222,500.00,1000,0
223,500.00,1000,0
224,500.00,1000,0
225,500.00,997,0
226,500.00,999,0
227,500.00,999,0
228,500.00,1000,0
229,500.00,1000,0
230,500.00,1000,0
231,500.00,999,0
232,500.00,999,0
233,500.00,997,0
234,500.00,1000,0
235,0.00,1000,0
